시도,군구,주소,충전소명,시설구분(대),시설구분(소),기종(대),기종(소),운영기관(대),운영기관(소),급속충전량,충전기타입,이용자제한,위도경도
서울특별시,강남구,"서울특별시 강남구 삼성로 151 (대치동, 선경아파트)",서울강남 대치선경2차아파트 1,공동주택시설,아파트,완속,AC완속,타기관,에버온,,AC완속,이용가능,"37.4931550,127.0630000"
전라남도,순천시,"전라남도 순천시 연향중앙상가길 41 (연향동, 현대아파트)",전남순천 연향현대2차아파트 1,공동주택시설,아파트,완속,AC완속,타기관(보조금),에버온,,AC완속,이용가능,"34.9502474,127.5202197"
대구광역시,수성구,대구광역시 수성구 동대구로 300,대구수성 범어롯데캐슬 2,공동주택시설,아파트,완속,AC완속,타기관(보조금),에버온,,AC완속,이용가능,"35.856484575,128.62666896"
경기도,가평군,경기도 가평군 설악면 미사리로540번길 51,가평휴게소(춘천방향) E-pit,휴게시설,고속도로 휴게소,급속,DC콤보,타기관,현대자동차,,DC콤보,이용가능,"37.703042057,127.54627845"
경기도,성남시,경기도 성남시 분당구 판교로 723,분당테크노파크B동,기타시설,기타,완속,AC완속,타기관(보조금),GS차지비,,AC완속,이용가능,"37.4056233,127.1538312"
경기도,시흥시,경기도 시흥시 거북섬로 120,시화MTV 6블럭 주차장 급속충전소,기타시설,기타,급속,DC콤보,타기관,이카플러그,,DC콤보,이용가능,"37.320986282,126.67868456"
경상북도,안동시,경상북도 안동시 풍천면 검무로 4-8,중앙타워,기타시설,기타,완속,AC완속,타기관(보조금),한국전기차충전서비스,,AC완속,이용가능,"36.576153,128.493106"
충청북도,충주시,충청북도 충주시 충원대로 268,건국대학교 국제교육관 K2동,교육문화시설,학교,완속,AC완속,타기관(보조금),이지차저,,AC완속,이용가능,"36.9504196,127.9072226"
광주광역시,서구,광주광역시 서구 시청로 64,광주 상무영무예다음아파트,공동주택시설,아파트,완속,AC완속,타기관,한국전자금융,,AC완속,이용가능,"35.15428,126.85223"
서울특별시,강남구,서울특별시 강남구 영동대로138길 12,청담자이아파트,공동주택시설,아파트,완속,AC완속,타기관,스타코프,,AC완속,이용가능,"37.524101472,127.05724978"
서울특별시,동작구,서울특별시 동작구 등용로 127,서울동작 대방현대아파트4,공동주택시설,아파트,완속,AC완속,타기관,에버온,,AC완속,이용가능,"37.512694321,126.93126097"
서울특별시,마포구,서울특별시 마포구 마포대로20길 26,서울시 마포구 삼성래미안공덕2차,공동주택시설,아파트,완속,AC완속,타기관,GS차지비,,AC완속,이용가능,"37.551585906,126.95888352"
